# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
2.371348282939420016e-01 1.251819117352900629e-06 1.018526750131220817e-05 1.657332500769884122e-08 1.766011033409943809e-01 5.532554756748087055e-01 5.057702766460753452e+00 2.473754655338290753e+00 4.400374294838357858e-05 1.556558604234082877e+00 4.800435765074674843e-01 2.466481305764436360e+00 6.419425323416182438e-01 1.484673125264727389e+00 5.639127122669188585e-01 4.038181864598075569e-08 2.000710680692530552e+00 2.238527976464303459e-01 1.380149921883866870e+00 5.325990983737010076e-01 7.862889439800794316e-06 2.117867568492146912e-01 2.157730915925381854e-01 1.324245193881883331e+00 5.723939231543163642e-01 2.035543890620281182e+00 3.212322944018462412e+00 9.943671312144776873e-07 1.582050472604938792e-05 2.893185929668589562e+00 1.111407785479942678e+00 3.539467365682394395e-01 4.296413799952201974e-08 2.167159164004590783e-06 3.631214331244271509e+00 1.041569304971611265e+00
1.089622209406821696e-01 1.179003512976512513e-01 2.213214119112184575e-01 8.840258655636584750e-02 8.395927459343142940e-02 6.069988985923909786e-01 2.543784147322933009e+00 2.543128383019866323e+00 1.659372720688554459e-01 2.587874595320557081e+00 5.659783098696947734e-01 1.778118694018774537e+00 4.719905761026881863e-01 1.920992909416263661e+00 1.244868621923642671e+00 1.501027244756154566e-01 1.248707675182092691e+00 1.803768760026221163e-01 1.548928564526398821e+00 6.611743148339379594e-01 1.161794587861172956e-01 9.657330254567760008e-02 2.093382318012209087e-01 1.437769889470959850e+00 9.435681592698711428e-01 1.216069002572883972e+00 2.502819238470949781e+00 1.259741308138251636e-01 4.234287617185317765e-01 2.888810289287235378e+00 1.134464715724228467e+00 2.155714837670981154e-01 6.792121636098437387e-02 7.547103121736435660e-02 2.140930779261922545e+00 2.137798861829149022e+00
1.170199634064385263e-01 1.461336842035586558e-01 5.373298548403808717e-01 1.127711151251508531e-01 2.658461807796004273e-01 5.555359491289629803e-01 4.077130642938368688e+00 3.141997993602920314e+00 1.672034525102086000e-01 2.279356265305275020e+00 9.570008463838365342e-01 2.981483112697610682e+00 4.754714641567999722e-01 2.283108616290057569e+00 4.137228264067593364e-01 1.003382342334770833e-01 1.789390151464722356e+00 1.801823439812436645e-01 1.833898241545315777e+00 6.505659092281109723e-01 7.625066728088387980e-02 2.001498731208152804e-01 1.717923995608972298e-01 2.746190131676434554e+00 1.163436248449387644e+00 2.624699314048180909e+00 3.104135804998997106e+00 1.419376529465496695e-01 5.672876183360289204e-01 3.366149944518038062e+00 1.182338914909287775e+00 4.230518316258580769e-01 1.594088554805311309e-01 1.532952883124434340e-01 2.817530640266924458e+00 1.708159488433936168e+00
2.696063752144910522e-02 3.505095273722152321e-02 9.266910952727989981e-02 1.028567354217435411e-06 1.421983463789998001e-02 1.338721093996818046e-01 1.603664927243361182e-01 1.221641574680993603e-01 2.351487147761517627e-02 1.324373071674935787e-01 9.995617566205551585e-02 1.484440667355033661e-01 8.031095079884123522e-02 1.366080188919092109e-01 4.312694059843565769e-02 2.471983316681860068e-02 1.564183606656250336e-01 3.080358823451654834e-02 1.939275995697775090e-01 1.108800285864917079e-01 2.304316548604620415e-02 1.117677058471140634e-05 2.575456286820513793e-02 5.751486163780580169e-02 1.079513094830581305e-01 1.235405973149652920e-01 2.112999140029938605e-01 4.110576740551649677e-02 9.164389306001706481e-02 2.000560877652322045e-01 1.816480778253850570e-01 2.334280176797379203e-02 9.130450757635492096e-08 2.319010715698278241e-02 2.255748573143726565e-01 1.268928127134079931e-01
7.467833535144406676e-02 5.153140048683470253e-02 1.121663046508336176e-01 5.125387704307324266e-02 8.254586654212434094e-02 2.457292368089581958e-01 2.905730698175724158e-01 2.792702130265904970e-01 7.100040225435917673e-02 3.006273842317429557e-01 1.910416849315132171e-01 3.062346865796319317e-01 1.626172352923523079e-01 3.308015075338691657e-01 2.369298957882051415e-01 4.869440530861036953e-02 2.767486664584373202e-01 2.716758277515657002e-02 4.039105789212237840e-01 1.354466030262004572e-01 1.796706521149915581e-02 4.791823019865657646e-02 2.655179082325313800e-02 2.690972916653978642e-01 1.788038787461214696e-01 2.393084742749224669e-01 2.737073211807935502e-01 5.226659454155312134e-02 1.928268462917307191e-01 2.754719228433922251e-01 2.493221508133795228e-01 4.902622123707429252e-02 4.291951844452530224e-02 6.591082248406403277e-02 3.357084624220148528e-01 3.594134583143283601e-01
2.014812113018533621e-02 3.141783666757589494e-02 8.116076139932609790e-02 3.856818033352471824e-08 1.920239069568346196e-02 1.375831905126725652e-01 1.360298680466840993e-01 8.682526261905849918e-02 5.598265514863461599e-03 1.289033713324178043e-01 7.660848587842374047e-02 1.156672515911484483e-01 6.485308613882548312e-02 1.457726924766055421e-01 4.669525464117910835e-02 1.150075617474248003e-02 9.169786464338011700e-02 1.985611758262908338e-02 1.876544812161698161e-01 2.984034609498308760e-02 1.875507628445628391e-02 2.606007994802201635e-05 3.212775875669703768e-02 1.393363209374302303e-01 9.857614379582194108e-02 9.464395757448475222e-02 1.911737844526629204e-01 2.438599776110327022e-02 9.993827995354737093e-02 1.121138778458191931e-01 8.113554569338259082e-02 3.226895918133827063e-02 1.994663672199314952e-02 1.730174192870040373e-02 1.077792329977464714e-01 1.415297563509439749e-01
6.057161084009485968e-02 4.320889574932543220e-02 1.635749766320361287e-01 7.283634544816712519e-02 1.058390012170080385e-01 2.276071710738154508e-01 2.518675585136531114e-01 2.576478642817480735e-01 7.585769219562421561e-02 2.494315072402170097e-01 2.321419647521524299e-01 3.080566153437910848e-01 1.042910664307647173e-01 2.962532161844828038e-01 1.999127154835240727e-01 6.765428007633415841e-02 2.532804492500430049e-01 5.465924961968830764e-02 4.234856732358624476e-01 2.238520999954853041e-01 6.714312479671802336e-02 7.409256916981028784e-02 8.535154593272195611e-02 2.499628739461315363e-01 1.863326693835819226e-01 1.910860229805499411e-01 3.301360162204116100e-01 4.874319496423345360e-02 1.911011154683663893e-01 2.602667580374164458e-01 3.299552409428983535e-01 4.178381626012685202e-02 7.279684855078377703e-02 7.514776169039712184e-02 3.394779215418867180e-01 2.283544578442796569e-01
3.643343515224892540e-03 9.991040430553613239e-03 7.040641317473561589e-02 8.062816926359099232e-03 4.503241859886316506e-03 1.081613194214584434e-01 9.440777140432100867e-02 1.269953958822215290e-01 2.000582889305808215e-02 1.036651784208832972e-01 9.032836038490024699e-02 1.094315395799178442e-01 5.730533479334425084e-02 1.237776651976402603e-01 1.164860891402566129e-01 3.174056232149833397e-03 8.123544726336502653e-02 8.938966422256736100e-03 1.407009089694851722e-01 7.121696591078181815e-02 1.709725976277596746e-02 7.743286029244918385e-03 2.493221526097622043e-02 1.071822027522477266e-01 6.494579133444303154e-02 8.140309673041642990e-02 1.473070137172423077e-01 4.117406510939584582e-03 7.127202811242373814e-02 1.271310027452527136e-01 8.384281442626766168e-02 2.365883489207766532e-02 2.530756746900793969e-02 2.971112138331422764e-02 1.210389100544192881e-01 1.172593556877114945e-01
8.971170514034815247e-02 5.716562523252374795e-02 1.788235106318593892e-01 6.545223406683596534e-02 7.706694008047954014e-02 2.303266321788014492e-01 2.691244189784417484e-01 2.825011735484909692e-01 6.044309224834452932e-02 2.560980080766747102e-01 2.469127784031754091e-01 3.103290131046509415e-01 1.886345589577530790e-01 3.159120285220439750e-01 2.333401303794159498e-01 5.152868517499385737e-02 2.789240449360280150e-01 4.249727150721065161e-02 4.337063457966973679e-01 1.850146750266829510e-01 5.221989818555313606e-02 5.910178658762053200e-02 5.666451972401850834e-02 2.412618486881526469e-01 2.235296502442963573e-01 2.422367277404053609e-01 4.194307134922838354e-01 5.199797677237041893e-02 1.895540990249593161e-01 3.202619328327133696e-01 3.316795545803198908e-01 4.890606540120270157e-02 5.272510285929542934e-02 2.746209737527269268e-02 2.827148357938669143e-01 2.483842195193729230e-01
4.166793618543751521e-02 4.911343661804719318e-02 8.744146126452244372e-02 3.279431446937967898e-02 6.305943219584994597e-02 1.297812971550598715e-01 2.191940758484273444e-01 2.275547227839462838e-01 3.670567592047481453e-02 1.640428892287819351e-01 1.604288607017768931e-01 2.072086815926229841e-01 1.365554144305316797e-01 1.633172483178162993e-01 1.491845432769781377e-01 2.743295927829828354e-02 1.596867582899321181e-01 2.659200713093875373e-02 3.228070345962829601e-01 1.527379089068670315e-01 1.464157038628302425e-02 5.365774929604234800e-02 5.813754740271063343e-02 1.814493056351323408e-01 1.454610302565572943e-01 1.983718423589374003e-01 2.735576651656834168e-01 4.787950474293806158e-02 1.295793000728505950e-01 1.947593308741498441e-01 2.093162659134740478e-01 4.217972058365147131e-02 3.222799118741827978e-02 1.041718191165114452e-02 1.908188037526798719e-01 2.263814529757142424e-01
